Nombre,Clase Real,Predicción,Acierto,Confianza (%),Latencia (ms)
aphid.100.jpg,aphid,healthy,NO,56.86,4481
aphid.101.jpg,aphid,healthy,NO,64.31,4483
aphid.103.jpg,aphid,aphid,SÍ,60.39,4483
aphid.104.jpg,aphid,healthy,NO,65.88,4483
aphid.105.jpg,aphid,aphid,SÍ,66.27,4486
aphid.106.jpg,aphid,healthy,NO,60.0,4484
aphid.107.jpg,aphid,aphid,SÍ,63.14,4483
aphid.108.jpg,aphid,aphid,SÍ,75.69,4484
aphid.109.jpg,aphid,aphid,SÍ,63.92,4484
aphid.110.jpg,aphid,aphid,SÍ,71.37,4484
aphid.111.jpg,aphid,aphid,SÍ,68.24,4485
aphid.112.jpg,aphid,aphid,SÍ,60.39,4485
aphid.113.jpg,aphid,healthy,NO,67.06,4483
aphid.114.jpg,aphid,aphid,SÍ,57.25,4484
aphid.115.jpg,aphid,aphid,SÍ,62.35,4483
aphid.116.jpg,aphid,aphid,SÍ,62.35,4483
aphid.117.jpg,aphid,healthy,NO,60.0,4483
aphid.118.jpg,aphid,aphid,SÍ,63.92,4484
aphid.51.jpg,aphid,aphid,SÍ,58.04,4482
aphid.52.jpg,aphid,aphid,SÍ,59.22,4481
aphid.53.jpg,aphid,healthy,NO,62.75,4482
aphid.54.jpg,aphid,healthy,NO,60.78,4483
aphid.55.jpg,aphid,aphid,SÍ,64.31,4483
aphid.56.jpg,aphid,aphid,SÍ,72.55,4484
aphid.57.jpg,aphid,aphid,SÍ,61.57,4484
aphid.58.jpg,aphid,aphid,SÍ,63.53,4484
aphid.59.jpg,aphid,healthy,NO,60.39,4484
aphid.60.jpg,aphid,healthy,NO,63.14,4483
aphid.61.jpg,aphid,aphid,SÍ,58.04,4486
aphid.62.jpg,aphid,aphid,SÍ,57.25,4484
aphid.63.jpg,aphid,healthy,NO,64.71,4485
aphid.64.jpg,aphid,healthy,NO,57.65,4486
aphid.65.jpg,aphid,healthy,NO,59.22,4484
aphid.66.jpg,aphid,healthy,NO,59.22,4484
aphid.67.jpg,aphid,healthy,NO,65.88,4484
aphid.68.jpg,aphid,healthy,NO,56.86,4483
aphid.69.jpg,aphid,aphid,SÍ,73.33,4484
aphid.70.jpg,aphid,aphid,SÍ,71.37,4483
aphid.71.jpg,aphid,healthy,NO,57.65,4484
aphid.72.jpg,aphid,aphid,SÍ,58.82,4484
aphid.73.jpg,aphid,aphid,SÍ,61.18,4483
aphid.74.jpg,aphid,healthy,NO,59.61,4484
aphid.75.jpg,aphid,aphid,SÍ,57.65,4484
aphid.76.jpg,aphid,aphid,SÍ,63.14,4484
aphid.77.jpg,aphid,aphid,SÍ,62.75,4484
aphid.78.jpg,aphid,healthy,NO,60.0,4485
aphid.79.jpg,aphid,aphid,SÍ,60.0,4484
aphid.80.jpg,aphid,healthy,NO,57.25,4483
aphid.81.jpg,aphid,aphid,SÍ,67.06,4484
aphid.82.jpg,aphid,aphid,SÍ,63.53,4484
aphid.83.jpg,aphid,aphid,SÍ,59.22,4484
aphid.84.jpg,aphid,aphid,SÍ,65.88,4483
aphid.85.jpg,aphid,healthy,NO,66.27,4484
aphid.86.jpg,aphid,healthy,NO,61.96,4485
aphid.87.jpg,aphid,aphid,SÍ,60.78,4482
aphid.88.jpg,aphid,healthy,NO,60.78,4483
aphid.89.jpg,aphid,healthy,NO,58.04,4485
aphid.90.jpg,aphid,aphid,SÍ,67.84,4485
aphid.91.jpg,aphid,aphid,SÍ,75.69,4484
aphid.92.jpg,aphid,aphid,SÍ,60.0,4483
aphid.93.jpg,aphid,aphid,SÍ,64.71,4484
aphid.94.jpg,aphid,healthy,NO,64.71,4485
aphid.95.jpg,aphid,aphid,SÍ,58.43,4484
aphid.96.jpg,aphid,healthy,NO,61.96,4485
aphid.97.jpg,aphid,aphid,SÍ,70.59,4484
aphid.98.jpg,aphid,healthy,NO,69.02,4483
aphid.99.jpg,aphid,healthy,NO,61.96,4483
healthy.100.jpg,healthy,healthy,SÍ,61.18,4482
healthy.101.jpg,healthy,healthy,SÍ,65.88,4482
healthy.35.jpg,healthy,healthy,SÍ,68.24,4484
healthy.36.jpg,healthy,aphid,NO,57.65,4482
healthy.37.jpg,healthy,healthy,SÍ,65.49,4482
healthy.38.jpg,healthy,aphid,NO,57.25,4484
healthy.39.jpg,healthy,aphid,NO,60.39,4483
healthy.40.jpg,healthy,healthy,SÍ,63.92,4484
healthy.41.jpg,healthy,healthy,SÍ,63.53,4482
healthy.42.jpg,healthy,healthy,SÍ,64.31,4482
healthy.43.jpg,healthy,healthy,SÍ,60.0,4483
healthy.44.jpg,healthy,healthy,SÍ,63.14,4484
healthy.45.jpg,healthy,aphid,NO,66.67,4482
healthy.46.jpg,healthy,healthy,SÍ,70.2,4481
healthy.47.jpg,healthy,healthy,SÍ,66.27,4482
healthy.48.jpg,healthy,aphid,NO,57.65,4482
