Nombre,Clase Real,Predicción,Acierto,Confianza (%),Latencia (ms)
aphid.100.jpg,aphid,healthy,NO,42.75,4483
aphid.101.jpg,aphid,aphid,SÍ,41.96,4483
aphid.103.jpg,aphid,healthy,NO,44.31,4481
aphid.104.jpg,aphid,healthy,NO,45.88,4481
aphid.105.jpg,aphid,healthy,NO,45.88,4482
aphid.106.jpg,aphid,healthy,NO,43.92,4482
aphid.107.jpg,aphid,aphid,SÍ,50.98,4482
aphid.108.jpg,aphid,aphid,SÍ,53.73,4483
aphid.109.jpg,aphid,aphid,SÍ,47.45,4484
aphid.110.jpg,aphid,aphid,SÍ,55.69,4481
aphid.111.jpg,aphid,aphid,SÍ,54.9,4482
aphid.112.jpg,aphid,healthy,NO,46.27,4482
aphid.113.jpg,aphid,healthy,NO,47.84,4481
aphid.114.jpg,aphid,aphid,SÍ,43.14,4482
aphid.115.jpg,aphid,aphid,SÍ,48.24,4481
aphid.116.jpg,aphid,aphid,SÍ,45.1,4484
aphid.117.jpg,aphid,aphid,SÍ,44.31,4480
aphid.118.jpg,aphid,aphid,SÍ,57.65,4484
aphid.51.jpg,aphid,healthy,NO,45.88,4484
aphid.52.jpg,aphid,healthy,NO,47.45,4481
aphid.53.jpg,aphid,healthy,NO,45.1,4483
aphid.54.jpg,aphid,healthy,NO,42.75,4484
aphid.55.jpg,aphid,healthy,NO,48.24,4481
aphid.56.jpg,aphid,aphid,SÍ,45.88,4480
aphid.57.jpg,aphid,healthy,NO,46.67,4479
aphid.58.jpg,aphid,aphid,SÍ,55.29,4482
aphid.59.jpg,aphid,healthy,NO,45.88,4480
aphid.60.jpg,aphid,aphid,SÍ,44.31,4480
aphid.61.jpg,aphid,healthy,NO,42.75,4480
aphid.62.jpg,aphid,healthy,NO,43.53,4484
aphid.63.jpg,aphid,healthy,NO,52.16,4483
aphid.64.jpg,aphid,aphid,SÍ,43.92,4484
aphid.65.jpg,aphid,healthy,NO,47.45,4481
aphid.66.jpg,aphid,healthy,NO,49.41,4480
aphid.67.jpg,aphid,healthy,NO,53.73,4483
aphid.68.jpg,aphid,aphid,SÍ,47.06,4482
aphid.69.jpg,aphid,aphid,SÍ,46.67,4485
aphid.70.jpg,aphid,healthy,NO,43.53,4484
aphid.71.jpg,aphid,aphid,SÍ,45.1,4484
aphid.72.jpg,aphid,aphid,SÍ,46.27,4478
aphid.73.jpg,aphid,aphid,SÍ,45.88,4478
aphid.74.jpg,aphid,healthy,NO,44.31,4479
aphid.75.jpg,aphid,healthy,NO,46.27,4484
aphid.76.jpg,aphid,aphid,SÍ,45.49,4484
aphid.77.jpg,aphid,healthy,NO,49.41,4483
aphid.78.jpg,aphid,healthy,NO,42.75,4483
aphid.79.jpg,aphid,aphid,SÍ,51.37,4483
aphid.80.jpg,aphid,aphid,SÍ,46.67,4479
aphid.81.jpg,aphid,healthy,NO,43.53,4478
aphid.82.jpg,aphid,aphid,SÍ,44.31,4478
aphid.83.jpg,aphid,aphid,SÍ,45.1,4480
aphid.84.jpg,aphid,aphid,SÍ,53.73,4478
aphid.85.jpg,aphid,healthy,NO,48.24,4477
aphid.86.jpg,aphid,healthy,NO,43.53,4478
aphid.87.jpg,aphid,aphid,SÍ,49.8,4482
aphid.88.jpg,aphid,healthy,NO,44.71,4483
aphid.89.jpg,aphid,healthy,NO,46.67,4480
aphid.90.jpg,aphid,aphid,SÍ,45.88,4480
aphid.91.jpg,aphid,aphid,SÍ,55.29,4481
aphid.92.jpg,aphid,aphid,SÍ,45.88,4479
aphid.93.jpg,aphid,healthy,NO,44.31,4481
aphid.94.jpg,aphid,healthy,NO,47.06,4483
aphid.95.jpg,aphid,aphid,SÍ,44.31,4485
aphid.96.jpg,aphid,aphid,SÍ,45.1,4484
aphid.97.jpg,aphid,aphid,SÍ,59.61,4482
aphid.98.jpg,aphid,healthy,NO,44.71,4483
aphid.99.jpg,aphid,healthy,NO,47.84,4482
healthy.100.jpg,healthy,aphid,NO,43.53,4481
healthy.101.jpg,healthy,aphid,NO,46.67,4479
healthy.35.jpg,healthy,healthy,SÍ,50.98,4480
healthy.36.jpg,healthy,aphid,NO,42.75,4480
healthy.37.jpg,healthy,healthy,SÍ,44.71,4481
healthy.38.jpg,healthy,aphid,NO,45.49,4484
healthy.39.jpg,healthy,healthy,SÍ,48.63,4483
healthy.40.jpg,healthy,healthy,SÍ,43.92,4482
healthy.41.jpg,healthy,healthy,SÍ,49.41,4482
healthy.42.jpg,healthy,healthy,SÍ,46.67,4482
healthy.43.jpg,healthy,healthy,SÍ,48.24,4484
healthy.44.jpg,healthy,healthy,SÍ,47.45,4484
healthy.45.jpg,healthy,aphid,NO,54.12,4482
healthy.46.jpg,healthy,healthy,SÍ,57.65,4484
healthy.47.jpg,healthy,healthy,SÍ,49.41,4483
healthy.48.jpg,healthy,healthy,SÍ,47.84,4483
healthy.49.jpg,healthy,healthy,SÍ,50.98,4484
healthy.50.jpg,healthy,aphid,NO,41.96,4483
healthy.52.jpg,healthy,healthy,SÍ,49.02,4484
healthy.53.jpg,healthy,healthy,SÍ,50.2,4483
healthy.54.jpg,healthy,healthy,SÍ,47.45,4484
healthy.55.jpg,healthy,healthy,SÍ,47.06,4484
healthy.56.jpg,healthy,healthy,SÍ,41.96,4484
healthy.57.jpg,healthy,healthy,SÍ,45.49,4482
healthy.58.jpg,healthy,aphid,NO,44.31,4483
healthy.59.jpg,healthy,aphid,NO,49.8,4484
healthy.60.jpg,healthy,aphid,NO,46.67,4484
healthy.61.jpg,healthy,aphid,NO,74.12,4483
healthy.62.jpg,healthy,healthy,SÍ,51.76,4480
