Nombre de Imagen,Clase Predicha,Confianza (%),Respuesta Cruda (ESP32)
aphid.100.jpg,healthy,72.55,Resultado: healthy Datos: aphid: 16 healthy: 57 
aphid.101.jpg,healthy,69.8,Resultado: healthy Datos: aphid: 19 healthy: 50 
aphid.103.jpg,aphid,67.84,Resultado: aphid Datos: aphid: 45 healthy: 11 
aphid.104.jpg,aphid,71.37,Resultado: aphid Datos: aphid: 54 healthy: 0 
aphid.105.jpg,aphid,65.88,Resultado: aphid Datos: aphid: 40 healthy: 21 
aphid.106.jpg,aphid,74.51,Resultado: aphid Datos: aphid: 62 healthy: -17 
aphid.107.jpg,healthy,68.63,Resultado: healthy Datos: aphid: 23 healthy: 47 
aphid.108.jpg,aphid,63.92,Resultado: aphid Datos: aphid: 35 healthy: 27 
aphid.109.jpg,aphid,72.94,Resultado: aphid Datos: aphid: 58 healthy: -2 
aphid.110.jpg,aphid,67.45,Resultado: aphid Datos: aphid: 44 healthy: 14 
aphid.111.jpg,aphid,78.04,Resultado: aphid Datos: aphid: 71 healthy: -29 
aphid.112.jpg,aphid,79.22,Resultado: aphid Datos: aphid: 74 healthy: -34 
aphid.113.jpg,healthy,75.69,Resultado: healthy Datos: aphid: 7 healthy: 65 
aphid.114.jpg,healthy,63.53,Resultado: healthy Datos: aphid: 31 healthy: 34 
aphid.115.jpg,aphid,65.49,Resultado: aphid Datos: aphid: 39 healthy: 23 
aphid.116.jpg,aphid,75.29,Resultado: aphid Datos: aphid: 64 healthy: -21 
aphid.117.jpg,healthy,68.24,Resultado: healthy Datos: aphid: 23 healthy: 46 
aphid.118.jpg,aphid,83.53,Resultado: aphid Datos: aphid: 85 healthy: -53 
aphid.51.jpg,aphid,66.67,Resultado: aphid Datos: aphid: 42 healthy: 20 
aphid.52.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 30 healthy: 35 
aphid.53.jpg,healthy,73.33,Resultado: healthy Datos: aphid: 12 healthy: 59 
aphid.54.jpg,aphid,64.71,Resultado: aphid Datos: aphid: 37 healthy: 26 
aphid.55.jpg,aphid,76.47,Resultado: aphid Datos: aphid: 67 healthy: -21 
aphid.56.jpg,aphid,66.27,Resultado: aphid Datos: aphid: 41 healthy: 22 
aphid.57.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 31 healthy: 35 
aphid.58.jpg,aphid,66.27,Resultado: aphid Datos: aphid: 41 healthy: 24 
aphid.59.jpg,aphid,63.14,Resultado: aphid Datos: aphid: 33 healthy: 29 
aphid.60.jpg,aphid,73.33,Resultado: aphid Datos: aphid: 59 healthy: -4 
aphid.61.jpg,aphid,72.16,Resultado: aphid Datos: aphid: 56 healthy: 4 
aphid.62.jpg,healthy,70.59,Resultado: healthy Datos: aphid: 18 healthy: 52 
aphid.63.jpg,aphid,66.67,Resultado: aphid Datos: aphid: 42 healthy: 20 
aphid.64.jpg,healthy,69.02,Resultado: healthy Datos: aphid: 22 healthy: 48 
aphid.65.jpg,healthy,70.98,Resultado: healthy Datos: aphid: 18 healthy: 53 
aphid.66.jpg,aphid,63.53,Resultado: aphid Datos: aphid: 34 healthy: 32 
aphid.67.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 27 healthy: 35 
aphid.68.jpg,aphid,63.92,Resultado: aphid Datos: aphid: 35 healthy: 25 
aphid.69.jpg,aphid,77.65,Resultado: aphid Datos: aphid: 70 healthy: -25 
aphid.70.jpg,aphid,74.51,Resultado: aphid Datos: aphid: 62 healthy: -12 
aphid.71.jpg,healthy,70.59,Resultado: healthy Datos: aphid: 19 healthy: 52 
aphid.72.jpg,aphid,69.02,Resultado: aphid Datos: aphid: 48 healthy: 6 
aphid.73.jpg,healthy,66.67,Resultado: healthy Datos: aphid: 25 healthy: 42 
aphid.74.jpg,aphid,67.45,Resultado: aphid Datos: aphid: 44 healthy: 18 
aphid.75.jpg,aphid,67.84,Resultado: aphid Datos: aphid: 45 healthy: 15 
aphid.76.jpg,aphid,75.29,Resultado: aphid Datos: aphid: 64 healthy: -17 
aphid.77.jpg,aphid,64.71,Resultado: aphid Datos: aphid: 37 healthy: 26 
aphid.78.jpg,healthy,72.94,Resultado: healthy Datos: aphid: 14 healthy: 58 
aphid.79.jpg,aphid,72.16,Resultado: aphid Datos: aphid: 56 healthy: -11 
aphid.80.jpg,aphid,65.49,Resultado: aphid Datos: aphid: 39 healthy: 22 
aphid.81.jpg,healthy,66.27,Resultado: healthy Datos: aphid: 27 healthy: 41 
aphid.82.jpg,healthy,70.59,Resultado: healthy Datos: aphid: 20 healthy: 52 
aphid.83.jpg,aphid,68.24,Resultado: aphid Datos: aphid: 46 healthy: 11 
aphid.84.jpg,aphid,75.29,Resultado: aphid Datos: aphid: 64 healthy: -17 
aphid.85.jpg,healthy,70.2,Resultado: healthy Datos: aphid: 18 healthy: 51 
aphid.86.jpg,healthy,71.76,Resultado: healthy Datos: aphid: 16 healthy: 55 
aphid.87.jpg,aphid,67.06,Resultado: aphid Datos: aphid: 43 healthy: 12 
aphid.88.jpg,healthy,73.33,Resultado: healthy Datos: aphid: 11 healthy: 59 
aphid.89.jpg,healthy,63.53,Resultado: healthy Datos: aphid: 33 healthy: 34 
aphid.90.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 31 healthy: 35 
aphid.91.jpg,healthy,65.1,Resultado: healthy Datos: aphid: 29 healthy: 38 
aphid.92.jpg,aphid,68.24,Resultado: aphid Datos: aphid: 46 healthy: 12 
aphid.93.jpg,healthy,65.88,Resultado: healthy Datos: aphid: 26 healthy: 40 
aphid.94.jpg,healthy,74.12,Resultado: healthy Datos: aphid: 9 healthy: 61 
aphid.95.jpg,aphid,65.88,Resultado: aphid Datos: aphid: 40 healthy: 20 
aphid.96.jpg,healthy,73.33,Resultado: healthy Datos: aphid: 13 healthy: 59 
aphid.97.jpg,aphid,71.76,Resultado: aphid Datos: aphid: 55 healthy: -4 
aphid.98.jpg,healthy,66.27,Resultado: healthy Datos: aphid: 27 healthy: 41 
aphid.99.jpg,healthy,69.8,Resultado: healthy Datos: aphid: 22 healthy: 50 
healthy.100.jpg,healthy,74.51,Resultado: healthy Datos: aphid: 11 healthy: 62 
healthy.101.jpg,aphid,65.49,Resultado: aphid Datos: aphid: 39 healthy: 18 
healthy.35.jpg,healthy,62.75,Resultado: healthy Datos: aphid: 30 healthy: 32 
healthy.36.jpg,healthy,72.94,Resultado: healthy Datos: aphid: 14 healthy: 58 
healthy.37.jpg,healthy,71.76,Resultado: healthy Datos: aphid: 17 healthy: 55 
healthy.38.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 30 healthy: 35 
healthy.39.jpg,aphid,69.8,Resultado: aphid Datos: aphid: 50 healthy: 9 
healthy.40.jpg,healthy,76.86,Resultado: healthy Datos: aphid: 2 healthy: 68 
healthy.41.jpg,healthy,63.53,Resultado: healthy Datos: aphid: 32 healthy: 34 
healthy.42.jpg,healthy,69.02,Resultado: healthy Datos: aphid: 23 healthy: 48 
healthy.43.jpg,healthy,73.33,Resultado: healthy Datos: aphid: 13 healthy: 59 
healthy.44.jpg,healthy,74.51,Resultado: healthy Datos: aphid: 9 healthy: 62 
healthy.45.jpg,healthy,64.71,Resultado: healthy Datos: aphid: 24 healthy: 37 
healthy.46.jpg,aphid,67.06,Resultado: aphid Datos: aphid: 43 healthy: 14 
healthy.47.jpg,healthy,66.67,Resultado: healthy Datos: aphid: 23 healthy: 42 
healthy.48.jpg,aphid,63.53,Resultado: aphid Datos: aphid: 34 healthy: 30 
healthy.49.jpg,healthy,75.29,Resultado: healthy Datos: aphid: 7 healthy: 64 
healthy.50.jpg,aphid,67.45,Resultado: aphid Datos: aphid: 44 healthy: 20 
healthy.52.jpg,healthy,75.29,Resultado: healthy Datos: aphid: 7 healthy: 64 
healthy.53.jpg,healthy,70.2,Resultado: healthy Datos: aphid: 19 healthy: 51 
healthy.54.jpg,healthy,74.12,Resultado: healthy Datos: aphid: 10 healthy: 61 
healthy.55.jpg,healthy,71.37,Resultado: healthy Datos: aphid: 17 healthy: 54 
healthy.56.jpg,healthy,67.84,Resultado: healthy Datos: aphid: 24 healthy: 45 
healthy.57.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 30 healthy: 35 
healthy.58.jpg,healthy,70.98,Resultado: healthy Datos: aphid: 20 healthy: 53 
healthy.59.jpg,healthy,72.16,Resultado: healthy Datos: aphid: 13 healthy: 56 
healthy.60.jpg,aphid,67.45,Resultado: aphid Datos: aphid: 44 healthy: 14 
healthy.61.jpg,aphid,92.55,Resultado: aphid Datos: aphid: 108 healthy: -98 
healthy.62.jpg,aphid,75.69,Resultado: aphid Datos: aphid: 65 healthy: -24 
healthy.63.jpg,aphid,74.51,Resultado: aphid Datos: aphid: 62 healthy: -7 
healthy.64.jpg,aphid,67.84,Resultado: aphid Datos: aphid: 45 healthy: 13 
healthy.65.jpg,aphid,63.92,Resultado: aphid Datos: aphid: 35 healthy: 31 
healthy.66.jpg,healthy,70.59,Resultado: healthy Datos: aphid: 20 healthy: 52 
healthy.67.jpg,aphid,66.67,Resultado: aphid Datos: aphid: 42 healthy: 17 
healthy.68.jpg,healthy,65.88,Resultado: healthy Datos: aphid: 28 healthy: 40 
healthy.69.jpg,healthy,70.98,Resultado: healthy Datos: aphid: 18 healthy: 53 
healthy.70.jpg,healthy,73.33,Resultado: healthy Datos: aphid: 11 healthy: 59 
healthy.71.jpg,aphid,63.14,Resultado: aphid Datos: aphid: 33 healthy: 28 
healthy.72.jpg,aphid,67.45,Resultado: aphid Datos: aphid: 44 healthy: 14 
healthy.73.jpg,healthy,63.92,Resultado: healthy Datos: aphid: 28 healthy: 35 
healthy.74.jpg,aphid,64.71,Resultado: aphid Datos: aphid: 37 healthy: 24 
healthy.75.jpg,healthy,62.75,Resultado: healthy Datos: aphid: 31 healthy: 32 
healthy.76.jpg,healthy,64.71,Resultado: healthy Datos: aphid: 29 healthy: 37 
healthy.77.jpg,healthy,65.88,Resultado: healthy Datos: aphid: 26 healthy: 40 
healthy.78.jpg,aphid,64.31,Resultado: aphid Datos: aphid: 36 healthy: 24 
healthy.79.jpg,healthy,76.47,Resultado: healthy Datos: aphid: 4 healthy: 67 
healthy.80.jpg,healthy,72.16,Resultado: healthy Datos: aphid: 16 healthy: 56 
healthy.81.jpg,healthy,68.63,Resultado: healthy Datos: aphid: 23 healthy: 47 
healthy.82.jpg,healthy,71.76,Resultado: healthy Datos: aphid: 15 healthy: 55 
healthy.83.jpg,healthy,69.8,Resultado: healthy Datos: aphid: 22 healthy: 50 
healthy.84.jpg,healthy,65.88,Resultado: healthy Datos: aphid: 27 healthy: 40 
healthy.85.jpg,healthy,67.45,Resultado: healthy Datos: aphid: 24 healthy: 44 
healthy.86.jpg,healthy,69.8,Resultado: healthy Datos: aphid: 21 healthy: 50 
healthy.87.jpg,aphid,73.73,Resultado: aphid Datos: aphid: 60 healthy: -15 
healthy.88.jpg,healthy,63.53,Resultado: healthy Datos: aphid: 27 healthy: 34 
healthy.89.jpg,healthy,65.88,Resultado: healthy Datos: aphid: 28 healthy: 40 
healthy.90.jpg,aphid,67.84,Resultado: aphid Datos: aphid: 45 healthy: 14 
healthy.91.jpg,healthy,63.14,Resultado: healthy Datos: aphid: 32 healthy: 33 
healthy.92.jpg,aphid,64.31,Resultado: aphid Datos: aphid: 36 healthy: 25 
healthy.93.jpg,aphid,68.63,Resultado: aphid Datos: aphid: 47 healthy: 5 
healthy.94.jpg,aphid,65.1,Resultado: aphid Datos: aphid: 38 healthy: 22 
healthy.95.jpg,aphid,65.49,Resultado: aphid Datos: aphid: 39 healthy: 19 
healthy.96.jpg,healthy,64.71,Resultado: healthy Datos: aphid: 28 healthy: 37 
healthy.97.jpg,aphid,62.75,Resultado: aphid Datos: aphid: 32 healthy: 32 
healthy.98.jpg,healthy,66.27,Resultado: healthy Datos: aphid: 27 healthy: 41 
healthy.99.jpg,aphid,64.31,Resultado: aphid Datos: aphid: 36 healthy: 25 

--- RESUMEN FINAL ---,,,
Total de Imágenes,133,,
Promedio Confianza General,69.10%,,
Total detectado como 'healthy',71,,
Total detectado como 'aphid',62,,
